MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1126057007137,17.85,0.11,174.81859,25.73693,53470.26035,0
1126057007137,17.77,0.11,174.81867,25.73691,53470.26765,0
1126057007137,17.79,0.11,174.81860,25.73690,53470.27496,0
1126057007137,17.82,0.11,174.81869,25.73691,53470.28224,0
1126057007137,17.88,0.11,174.81864,25.73692,53490.22663,0
1126057007137,17.82,0.10,174.81860,25.73687,53490.23480,0
1126057007137,17.86,0.11,174.81853,25.73690,53490.24294,0
1126057007137,17.81,0.10,174.81859,25.73684,53490.25107,0
1126057007137,17.73,0.10,174.81855,25.73690,53711.47586,0
1126057007137,17.79,0.10,174.81861,25.73689,53711.48613,0
1126057007137,17.72,0.10,174.81855,25.73701,53711.49649,0
1126057007137,17.82,0.10,174.81860,25.73694,53711.50697,0
1126057007137,17.84,0.11,174.81862,25.73696,53728.47195,0
1126057007137,17.56,0.10,174.81864,25.73691,53728.48005,0
1126057007137,17.77,0.11,174.81865,25.73697,53728.48816,0
1126057007137,17.92,0.11,174.81847,25.73691,53728.49622,0
1126057007137,17.75,0.11,174.81859,25.73695,53506.19182,0
1126057007137,17.70,0.11,174.81872,25.73689,53506.19948,0
1126057007137,17.68,0.11,174.81857,25.73696,53506.20717,0
1126057007137,17.86,0.12,174.81859,25.73688,53506.21487,0
1126057007137,17.63,0.10,174.81854,25.73695,53831.15971,0
1126057007137,17.54,0.10,174.81853,25.73680,53831.16621,0
1126057007137,17.74,0.11,174.81864,25.73695,53831.17266,0
1126057007137,17.71,0.10,174.81846,25.73679,53831.17928,0
1126057007137,17.76,0.11,174.81849,25.73689,53851.26817,0
1126057007137,17.66,0.10,174.81859,25.73689,53851.27706,0
1126057007137,17.72,0.10,174.81862,25.73690,53851.28599,0
1126057007137,17.65,0.10,174.81860,25.73693,53851.29492,0
1126057007137,17.53,0.09,174.81868,25.73693,54096.38213,0
1126057007137,17.48,0.09,174.81860,25.73698,54096.39031,0
1126057007137,17.52,0.09,174.81862,25.73691,54096.39856,0
1126057007137,17.41,0.09,174.81854,25.73687,54096.40673,0
1126057007137,17.65,0.10,174.81871,25.73707,53767.49281,0
1126057007137,17.69,0.10,174.81867,25.73705,53767.49763,0
1126057007137,17.62,0.10,174.81866,25.73699,53767.50252,0
1126057007137,17.73,0.10,174.81853,25.73702,53767.50741,0
1126057007137,17.80,0.10,174.81862,25.73689,53793.37992,0
1126057007137,17.70,0.10,174.81868,25.73694,53793.38632,0
1126057007137,17.81,0.11,174.81864,25.73686,53793.39274,0
1126057007137,17.76,0.10,174.81864,25.73689,53793.39914,0
1126057007137,17.99,0.19,174.81870,25.73678,53737.39723,0
1126057007137,17.66,0.10,174.81869,25.73700,53737.40660,0
1126057007137,17.83,0.11,174.81856,25.73693,53737.41579,0
1126057007137,17.81,0.11,174.81860,25.73695,53737.42507,0
1126057007137,17.83,0.10,174.81859,25.73680,53740.43873,0
1126057007137,17.70,0.10,174.81865,25.73702,53740.44733,0
1126057007137,17.84,0.11,174.81847,25.73689,53740.45586,0
1126057007137,17.79,0.10,174.81857,25.73688,53740.46445,0
1126057007137,17.43,0.23,174.81834,25.73708,53902.24213,0
1126057007137,17.69,0.27,174.81872,25.73677,53902.24314,0
1126057007137,17.71,0.27,174.81859,25.73681,53902.24413,0
1126057007137,17.56,0.25,174.81837,25.73675,53902.24510,0
1126057007137,17.81,0.11,174.81860,25.73692,53800.37031,0
1126057007137,17.81,0.11,174.81850,25.73689,53800.37769,0
1126057007137,17.79,0.10,174.81859,25.73683,53800.38486,0
1126057007137,17.77,0.10,174.81873,25.73695,53800.39180,0
1126057007137,17.65,0.10,174.81873,25.73694,53818.24387,0
1126057007137,17.82,0.11,174.81856,25.73693,53818.25053,0
1126057007137,17.70,0.10,174.81859,25.73683,53818.25721,0
1126057007137,17.66,0.10,174.81854,25.73685,53818.26390,0
1126057007137,17.66,0.10,174.81870,25.73688,53860.21390,0
1126057007137,17.67,0.10,174.81857,25.73690,53860.22037,0
1126057007137,17.65,0.10,174.81849,25.73684,53860.22683,0
1126057007137,17.57,0.10,174.81874,25.73677,53860.23330,0
1126057007137,17.37,0.09,174.81865,25.73701,54062.48921,0
1126057007137,17.33,0.09,174.81861,25.73694,54062.49769,0
1126057007137,17.46,0.09,174.81856,25.73689,54062.50613,0
1126057007137,17.55,0.09,174.81858,25.73687,54062.51460,0
1126057007137,17.50,0.09,174.81863,25.73691,54451.46480,0
1126057007137,17.45,0.09,174.81851,25.73696,54451.47225,0
1126057007137,17.46,0.09,174.81865,25.73684,54451.47969,0
1126057007137,17.46,0.09,174.81864,25.73696,54451.48710,0
1126057007137,17.40,0.09,174.81857,25.73689,54141.40805,0
1126057007137,17.40,0.10,174.81855,25.73689,54141.41348,0
1126057007137,17.41,0.10,174.81860,25.73685,54141.41893,0
1126057007137,17.56,0.10,174.81847,25.73684,54141.42438,0
1126057007137,17.43,0.10,174.81872,25.73698,54156.26031,0
1126057007137,17.38,0.10,174.81867,25.73710,54156.26903,0
1126057007137,17.40,0.10,174.81871,25.73689,54156.27774,0
1126057007137,17.44,0.10,174.81876,25.73693,54156.28646,0
1126057007137,17.46,0.09,174.81866,25.73681,54116.39751,0
1126057007137,17.52,0.09,174.81873,25.73686,54116.40557,0
1126057007137,17.54,0.09,174.81860,25.73681,54116.41357,0
1126057007137,17.43,0.09,174.81868,25.73693,54116.42152,0
1126057007137,17.47,0.09,174.81844,25.73687,54129.40475,0
1126057007137,17.39,0.09,174.81856,25.73684,54129.41011,0
1126057007137,17.49,0.09,174.81859,25.73691,54129.41548,0
1126057007137,17.48,0.09,174.81850,25.73692,54129.42083,0
1126057007137,17.50,0.10,174.81859,25.73689,54275.18111,0
1126057007137,17.59,0.10,174.81865,25.73682,54275.18758,0
